,RG Description,RG Descr,REQ Description,REQ Descr,LINE Description,LINE Descr,Course ID,Subject,Catalog
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Introduction to Statistical Methods,1 Course Required (LN-010),004323,STAT,1772
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Introductory Seminar for Business Professionals,1 Course Required (LN-020),000750,BUSINESS,1000
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Principles of Macroeconomics,1 Course Required (LN-030),005044,ECON,1041
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Principles of Microeconomics,1 Course Required  (LN-040),005045,ECON,1051
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Business Professionals in Training,1 Course Required (LN-050),000751,BUSINESS,2000
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Intermediate Microeconomics Theory,1 Course Required  (LN-060),005049,ECON,2112
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Intermediate Macroeconomics Theory,1 Course Required (LN-070),005048,ECON,2122
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Introduction to Econometrics,1 Course Required (LN-080),005072,ECON,3373
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),ECONOMICS CORE,"18 Units Required.  A C- or better is required in ECON 1041, ECON 1051,  ECON 2112 and ECON 2122.  (RQ-63503)",Introduction to Econometrics,1 Course Required (LN-080),005072,ECON,5373
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Statistics for Business Analytics,1 Course Required (LN-010),005046,ECON,1011
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required  (LN-020),003672,ENGLISH,1005
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required  (LN-020),003674,ENGLISH,2015
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required  (LN-020),063469,PHIL,1050
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required  (LN-020),061168,UNIV,1010
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),"1000/2000/3000/4000-Level Economics (except ECON 1011, 1031, 2090)",12 Units Required (LN-030),,ECON,1###
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),"1000/2000/3000/4000-Level Economics (except ECON 1011, 1031, 2090)",12 Units Required (LN-030),,ECON,2###
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),"1000/2000/3000/4000-Level Economics (except ECON 1011, 1031, 2090)",12 Units Required (LN-030),,ECON,3###
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),"1000/2000/3000/4000-Level Economics (except ECON 1011, 1031, 2090)",12 Units Required (LN-030),,ECON,4###
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),000760,ACCT,2120
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),005425,GEOG,3110
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),000878,MGMT,2080
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),005187,POL AMER,1048
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),000881,MGMT,3100
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),000882,MGMT,3101
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),000810,MKTG,2110
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),005200,POL AMER,2147
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),005220,POL INTL,3119
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),005222,POL INTL,3125
ADVSR,ECONOMICS: GENERAL ECONOMICS EMPHASIS  (2024-present)  921BA,39 Units Required (RG-50081),GENERAL ECONOMICS EMPHASIS,21 Units Required  (RQ-64510),Select from one of the following,1 Course Required (LN-040),,ECON,1###
